ItemName,Brand,Category,StockQty,ArrivalDate,ExpiryDate,DaysUntilExpiry,DailySaleAvg,SpoilageChance,SuggestedAction,StoreLocation,IsSpoiled,OnPromotion,TemperatureSensitive,StoreID,Zone,TemperatureSupport,DistanceToNearestStore,AvgDailySaleInNearbyStores,InventoryDays,TransferOpportunity,WasteRisk,AvgDaysToExpiry,DemandNearbtMatch,InventoryTurnOverProxy,SpoilageRate,DemandGapScore,TransferPriorityScore,RescuableUnits,WasteSavedProxy,RecommendedAction
Bingo Mad Angles,ITC,Snacks,92,2025-06-20,2025-06-28,0.5,12.1,1.0,donate,Chennai,False,No,False,Chennai_0,Unassigned ,No supported,6.1,13.178196371286637,7.603305785123967,True,True,2.074,True,0.13152173913043477,False,1.0781963712866371,0.15185864384318834,79.9,79.9,Discount
Multigrain Cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_0,Unassigned ,No supported,5.0,8.98111835739282,24.88888888888889,False,True,2.074,False,0.04017857142857143,True,-0.018881642607180282,-0.003146940434530047,215.0,215.0,Discount
Nestlé Yogurt 150g,Nestlé,Dairy,201,2025-06-23,2025-06-26,0.5,20.1,1.0,donate,Mumbai,False,Yes,True,Mumbai_0,West,False,10.3,17.169272791481962,10.0,False,True,2.074,False,0.1,False,-2.9307272085180394,-0.25935639013433975,180.9,180.9,Discount
Tomato 1kg,Local Farmer,Produce,204,2025-06-18,2025-06-21,0.5,9.7,1.0,donate,Kanpur,False,Yes,True,Kanpur_1,Unassigned ,No supported,8.8,11.07599655764262,21.030927835051546,True,True,2.074,True,0.047549019607843135,False,1.3759965576426207,0.14040781200434904,194.3,194.3,Discount
Banana 6pcs,Local Farmer,Produce,154,2025-06-14,2025-06-21,0.5,5.6,1.0,donate,Mumbai,True,Yes,True,Mumbai_1,West,False,10.4,4.6414597333190555,27.5,False,True,2.074,False,0.03636363636363636,True,-0.9585402666809442,-0.08408247953341615,148.4,148.4,Discount
Nestlé Yogurt 150g,Nestlé,Dairy,262,2025-06-16,2025-06-20,0.5,2.0,1.0,donate,Delhi,True,No,True,Delhi_0,North,True,12.8,1.9979465960935092,131.0,False,True,2.074,False,0.007633587786259542,True,-0.0020534039064907805,-0.0001487973845283174,260.0,260.0,Discount
Lays Chips 100g,PepsiCo,Snacks,232,2025-06-23,2025-07-03,5.0,9.7,0.96,donate,Kanpur,False,No,False,Kanpur_2,Unassigned ,No supported,6.1,8.330349530467792,23.917525773195877,False,True,2.074,False,0.04181034482758621,False,-1.369650469532207,-0.19290851683552213,222.3,222.3,Monitor
Mutton Mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,5.0,24.6,0.48,none,Bangalore,False,No,True,Bangalore_0,Unassigned ,No supported,14.7,25.49873415828835,11.991869918699186,True,True,2.074,True,0.08338983050847458,False,0.8987341582883488,0.057244213903716486,270.4,270.4,Monitor
Amul Milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,2.0,4.6,0.26,none,Chennai,False,No,True,Chennai_1,Unassigned ,No supported,2.7,4.323283412622314,2.608695652173913,False,True,2.074,False,0.3833333333333333,False,-0.27671658737768556,-0.07478826685883393,7.4,7.4,Monitor
Chicken Breast 500g,Godrej,Meat,260,2025-06-25,2025-07-05,7.0,13.0,0.57,monitor,Delhi,False,Yes,True,Delhi_1,North,True,4.3,13.056745783367658,20.0,True,True,2.074,True,0.05,False,0.05674578336765812,0.010706751578803419,247.0,247.0,Monitor
Brown Bun Pack,Harvest Gold,Bakery,32,2025-06-24,2025-06-27,0.5,21.3,0.6,monitor,Delhi,False,No,False,Delhi_2,North,True,13.4,18.638055308412195,1.5023474178403755,False,True,2.074,False,0.665625,False,-2.661944691587806,-0.1848572702491532,10.7,10.7,Discount
Mother Dairy Butter 100g,Mother Dairy,Dairy,220,2025-06-19,2025-06-23,0.5,13.7,1.0,donate,Kanpur,False,No,True,Kanpur_3,Unassigned ,No supported,11.7,13.74722070854663,16.058394160583944,True,True,2.074,True,0.06227272727272727,False,0.04722070854663052,0.0037181660272937417,206.3,206.3,Discount
Lays Chips 100g,PepsiCo,Snacks,144,2025-06-14,2025-06-24,0.5,13.6,1.0,donate,Chennai,True,No,False,Chennai_2,Unassigned ,No supported,8.6,15.228350037244736,10.588235294117647,True,True,2.074,True,0.09444444444444444,True,1.6283500372447364,0.16961979554632672,130.4,130.4,Discount
Kurkure Masala,PepsiCo,Snacks,59,2025-06-20,2025-06-23,0.5,12.2,1.0,donate,Chennai,True,Yes,False,Chennai_3,Unassigned ,No supported,13.1,12.034553856048333,4.836065573770492,False,True,2.074,False,0.20677966101694914,True,-0.1654461439516659,-0.011733769074586235,46.8,46.8,Discount
Brown Bun Pack,Harvest Gold,Bakery,90,2025-06-26,2025-07-08,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_4,Unassigned ,No supported,12.1,21.381762811874175,4.017857142857143,False,False,2.074,False,0.24888888888888888,False,-1.0182371881258234,-0.0,67.6,0.0,Monitor
Spinach Bunch,Local Farmer,Produce,253,2025-06-12,2025-06-15,0.5,12.6,1.0,donate,Kanpur,True,Yes,True,Kanpur_4,Unassigned ,No supported,11.0,12.784893077313457,20.07936507936508,True,True,2.074,True,0.04980237154150197,True,0.1848930773134576,0.015407756442788134,240.4,240.4,Discount
Spinach Bunch,Local Farmer,Produce,145,2025-06-15,2025-06-22,0.5,15.8,1.0,donate,Kanpur,True,No,True,Kanpur_5,Unassigned ,No supported,14.6,13.671372729104679,9.177215189873417,False,True,2.074,False,0.10896551724137932,True,-2.128627270895322,-0.13645046608303346,129.2,129.2,Discount
Nestlé Yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,0.5,21.8,1.0,donate,Bangalore,False,No,True,Bangalore_1,Unassigned ,No supported,11.8,17.509534591270622,12.247706422018348,False,True,2.074,False,0.08164794007490637,False,-4.2904654087293785,-0.3351926100569827,245.2,245.2,Discount
